Symbol,Date,Open,High,Low,Close,Volume
AAME,01-Feb-2010,1.35,1.35,1.34,1.35,8500
AAON,01-Feb-2010,6.1689,6.2222,6.0474,6.0889,126000
AAPL,01-Feb-2010,6.8704,7,6.8322,6.9547,26781200
AAWW,01-Feb-2010,36.69,37.48,36.49,37.37,254400
AAXJ,01-Feb-2010,52.31,53.07,52.31,53.07,204000
ABCB,01-Feb-2010,9.34,9.4,9.27,9.35,23100
ABIO,01-Feb-2010,2260.44,2260.44,2154.6,2222.64,32300
ABMD,01-Feb-2010,8,8.15,7.85,7.93,298900
ACAD,01-Feb-2010,1.25,1.36,1.23,1.35,615200
ACET,01-Feb-2010,5.28,5.3,5.11,5.17,173900
ACGL,01-Feb-2010,7.99,7.99,7.8644,7.8867,692300
ACIW,01-Feb-2010,5.33,5.4,5.2833,5.34,82200
ACLS,01-Feb-2010,6.04,6.4,6.04,6.32,415800
ACMR,01-Feb-2010,2.92,3.12,2.82,3.09,90200
ACOR,01-Feb-2010,28.06,29.32,27.69,29.09,1049000
ACTG,01-Feb-2010,8.99,9.04,8.63,8.67,75000
ACWI,01-Feb-2010,40.41,40.85,40.41,40.79,172800
ACWX,01-Feb-2010,38.91,39.32,38.91,39.3,51700
ADBE,01-Feb-2010,32.39,32.54,32.06,32.48,8705400
ADES,01-Feb-2010,3,3,2.935,2.975,13900
ADI,01-Feb-2010,27.05,27.61,26.92,27.52,4139800
ADP,01-Feb-2010,36.0229,36.137,35.7419,36.0579,3194600
ADPT,01-Feb-2010,3.04,3.16,3.01,3.15,532100
ADRE,01-Feb-2010,40.01,40.85,40.01,40.74,345500
ADSK,01-Feb-2010,23.76,24.08,23.55,23.81,3700900
ADTN,01-Feb-2010,21.18,21.46,21.18,21.39,756700
ADUS,01-Feb-2010,8.82,8.86,8.56,8.78,18200
AEHR,01-Feb-2010,1.82,1.82,1.67,1.77,14000
AEIS,01-Feb-2010,13.16,13.48,12.96,13.47,347500
AEY,01-Feb-2010,2.2,2.2,2.11,2.15,8300
AEZS,01-Feb-2010,504,540,504,522,173400
AGEN,01-Feb-2010,0.75,0.84,0.75,0.82,497400
AGNC,01-Feb-2010,27.02,27.14,26.25,26.32,389300
AGYS,01-Feb-2010,8.49,8.79,8.4,8.6,87400
AHPI,01-Feb-2010,5.01,5.01,4.65,4.65,2500
AIMC,01-Feb-2010,11.04,11.12,10.69,10.73,51500
AINV,01-Feb-2010,31.17,31.5,30.9,31.23,821400
AIRT,01-Feb-2010,10.19,11.18,9.36,9.5,101700
AKAM,01-Feb-2010,25.93,26.24,25.6,26.18,4994200
ALCO,01-Feb-2010,25.83,25.9,25.25,25.56,15500
ALGN,01-Feb-2010,18.73,18.75,18.5,18.58,596100
ALGT,01-Feb-2010,51.3,52.13,51.11,51.2,290500
ALKS,01-Feb-2010,11.01,11.13,10.83,11.04,991700
ALLT,01-Feb-2010,4.23,4.27,4.19,4.2,12800
ALNY,01-Feb-2010,16.95,17.21,16.75,17.11,163600
ALOT,01-Feb-2010,7.3,7.5,7.3,7.5,200
ALTR,01-Feb-2010,21.26,21.95,21.26,21.88,7234100
ALVR,01-Feb-2010,41.3,41.9,40.6,40.9,746300
AMAT,01-Feb-2010,12.34,12.56,12.23,12.52,20227200
AMD,01-Feb-2010,7.61,7.98,7.53,7.98,25476300
AMED,01-Feb-2010,55.25,58.35,53.58,57.07,1737300
AMGN,01-Feb-2010,58.52,58.84,58.37,58.72,7081600
AMKR,01-Feb-2010,5.72,6.18,5.7,6.18,3612200
AMNB,01-Feb-2010,18.99,19.21,18.63,18.81,11100
AMOT,01-Feb-2010,2.56,2.65,2.55,2.65,6300
AMPH,01-Feb-2010,22.92,23.21,22.91,23.08,13300
AMPL,01-Feb-2010,53,53.6,52.4,53.4,13600
AMRN,01-Feb-2010,1.15,1.18,1.02,1.1,105400
AMSC,01-Feb-2010,384,398.1,382.8,397.5,1349500
AMSF,01-Feb-2010,17.3,17.38,17.07,17.21,154000
AMSWA,01-Feb-2010,5.5,5.52,5.35,5.39,38000
AMWD,01-Feb-2010,20.16,20.16,19.8,20.04,12400
AMZN,01-Feb-2010,123.18,124.86,113.82,118.87,37774300
ANAT,01-Feb-2010,106.51,109.93,106.51,107.43,14100
ANDE,01-Feb-2010,18.0067,18.7133,17.7133,18.6133,154700
ANGN,01-Feb-2010,3.71,3.85,3.6,3.84,4100
ANGO,01-Feb-2010,16.05,16.41,15.8,16.13,84600
ANIK,01-Feb-2010,6.38,6.44,6.05,6.21,45100
ANSS,01-Feb-2010,41.97,42.19,41.54,42.19,376100
APAC,01-Feb-2010,5.17,5.22,5.04,5.2,231600
APEI,01-Feb-2010,38.09,38.56,37.5,37.75,203000
APOG,01-Feb-2010,13.9,14.1,13.74,13.95,183300
ARAY,01-Feb-2010,5.97,5.98,5.78,5.93,607800
ARCC,01-Feb-2010,12.4,12.64,12.23,12.42,1854100
ARKR,01-Feb-2010,13.71,13.75,13.58,13.6,3000
ARLP,01-Feb-2010,20.165,21,19.855,20.885,170700
ARNA,01-Feb-2010,31.8,33,30.6,33,1745200
AROW,01-Feb-2010,25.96,25.97,25.34,25.56,29700
ARRY,01-Feb-2010,2.4,2.45,2.36,2.4,389800
ARTNA,01-Feb-2010,17.77,17.85,17.55,17.61,11900
ARTW,01-Feb-2010,4.06,4.29,4.05,4.15,2500
ARWR,01-Feb-2010,0.6,0.6,0.57,0.57,84700
ASML,01-Feb-2010,31.58,32.01,31.55,31.96,1352600
ASPS,01-Feb-2010,22.95,23.06,21.87,22.8,250200
ASRV,01-Feb-2010,1.46,1.52,1.46,1.52,600
ASTC,01-Feb-2010,2.57,2.68,2.39,2.45,180400
ASTE,01-Feb-2010,24.98,25.64,24.87,25.34,136400
ASUR,01-Feb-2010,1.4733,1.5,1.4467,1.46,8600
ASYS,01-Feb-2010,10.58,10.7,10.1,10.66,100000
ATAI,01-Feb-2010,3.08,3.49,3,3.4,15600
ATAX,01-Feb-2010,6,6,5.5,5.83,180800
ATEC,01-Feb-2010,53.4,54.72,51.96,52.8,36500
ATHX,01-Feb-2010,2.4,2.59,2.32,2.38,505600
ATLO,01-Feb-2010,18.56,18.65,17.76,18.13,11800
ATNI,01-Feb-2010,48.58,48.94,47.29,47.55,66100
ATRC,01-Feb-2010,5.76,5.86,5.76,5.86,9400
ATRI,01-Feb-2010,140.06,144.95,140.06,141.21,1400
ATRO,01-Feb-2010,6.7417,7.125,6.5167,7.0667,25800
ATSG,01-Feb-2010,2.32,2.43,2.31,2.32,156300
ATVI,01-Feb-2010,10.12,10.16,10.03,10.08,13976000
AUBN,01-Feb-2010,18.68,19.25,18.68,19.02,1300
AUDC,01-Feb-2010,3.15,3.22,3.11,3.22,46000
AVAV,01-Feb-2010,34.1,34.11,31.66,31.66,652900
AVGO,01-Feb-2010,17.38,17.69,17.29,17.5,509400
AVID,01-Feb-2010,12.65,12.78,12.46,12.68,214400
AVNW,01-Feb-2010,87,89.4,84.24,86.64,326900
AWRE,01-Feb-2010,2.51,2.54,2.4,2.51,32700
AXTI,01-Feb-2010,2.89,3.02,2.89,2.91,227100
AZPN,01-Feb-2010,9.2,9.39,9.15,9.25,19600
BANF,01-Feb-2010,40.35,40.35,39.31,39.55,22000
BANFP,01-Feb-2010,25.25,25.25,25.25,25.25,0
BANR,01-Feb-2010,20.79,21.14,20.02,20.44,104300
BBBY,01-Feb-2010,38.68,39.41,38.62,39.33,2455700
BBGI,01-Feb-2010,3.59,3.59,3.45,3.45,500
BBSI,01-Feb-2010,12.74,13,12.53,12.84,15600
BCBP,01-Feb-2010,9.75,9.75,9.44,9.44,1400
BCPC,01-Feb-2010,19.41,19.61,19.1,19.5,67600
